Test,Session,EventName,EventDate,LapNumber,Driver,DriverNumber,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,Position,IsPersonalBest,LapTimeSec,Sector1TimeSec,Sector2TimeSec,Sector3TimeSec
1,1,Pre-Season Testing,2026-02-13,1.0,NOR,1,McLaren,,,0 days 00:00:52.528000,0 days 00:00:29.362000,219.0,199.0,225.0,155.0,MEDIUM,1.0,True,,False,,,52.528,29.362
1,1,Pre-Season Testing,2026-02-13,2.0,NOR,1,McLaren,,0 days 00:00:44.845000,0 days 00:01:01.493000,0 days 00:00:43.817000,138.0,139.0,,179.0,MEDIUM,2.0,True,,False,,44.845,61.493,43.817
1,1,Pre-Season Testing,2026-02-13,3.0,NOR,1,McLaren,,,0 days 00:00:48.124000,0 days 00:00:28.697000,210.0,226.0,253.0,191.0,MEDIUM,3.0,False,,False,,,48.124,28.697
1,1,Pre-Season Testing,2026-02-13,4.0,NOR,1,McLaren,,0 days 00:00:44.081000,0 days 00:01:06.918000,0 days 00:00:43.100000,139.0,139.0,,211.0,MEDIUM,4.0,False,,False,,44.081,66.918,43.1
1,1,Pre-Season Testing,2026-02-13,5.0,NOR,1,McLaren,,,0 days 00:00:46.551000,0 days 00:00:26.182000,214.0,225.0,264.0,174.0,MEDIUM,5.0,False,,False,,,46.551,26.182
1,1,Pre-Season Testing,2026-02-13,6.0,NOR,1,McLaren,0 days 00:02:29.258000,0 days 00:00:44.094000,0 days 00:01:01.048000,0 days 00:00:44.116000,138.0,139.0,,211.0,MEDIUM,6.0,False,,False,149.258,44.094,61.048,44.116
1,1,Pre-Season Testing,2026-02-13,7.0,NOR,1,McLaren,,,0 days 00:00:46.463000,0 days 00:00:28.156000,198.0,229.0,288.0,199.0,MEDIUM,7.0,False,,False,,,46.463,28.156
1,1,Pre-Season Testing,2026-02-13,8.0,NOR,1,McLaren,0 days 00:02:26.633000,0 days 00:00:41.315000,0 days 00:01:00.807000,0 days 00:00:44.511000,138.0,139.0,,258.0,MEDIUM,8.0,False,,False,146.633,41.315,60.807,44.511
1,1,Pre-Season Testing,2026-02-13,9.0,NOR,1,McLaren,,,0 days 00:00:46.405000,0 days 00:00:26.605000,214.0,229.0,273.0,152.0,MEDIUM,9.0,False,,False,,,46.405,26.605
1,1,Pre-Season Testing,2026-02-13,10.0,NOR,1,McLaren,0 days 00:02:29.847000,0 days 00:00:42.530000,0 days 00:01:01.338000,0 days 00:00:45.979000,139.0,139.0,,222.0,MEDIUM,10.0,False,,False,149.847,42.53,61.338,45.979
1,1,Pre-Season Testing,2026-02-13,11.0,NOR,1,McLaren,,,0 days 00:00:46.246000,0 days 00:00:26.088000,203.0,229.0,303.0,185.0,MEDIUM,11.0,False,,False,,,46.246,26.088
1,1,Pre-Season Testing,2026-02-13,12.0,NOR,1,McLaren,0 days 00:02:29.494000,0 days 00:00:40.489000,0 days 00:01:03.952000,0 days 00:00:45.053000,138.0,139.0,,253.0,MEDIUM,12.0,False,,False,149.494,40.489,63.952,45.053
1,1,Pre-Season Testing,2026-02-13,13.0,NOR,1,McLaren,0 days 00:02:23.842000,0 days 00:01:10.855000,0 days 00:00:47.454000,0 days 00:00:25.533000,214.0,233.0,305.0,136.0,MEDIUM,13.0,False,,False,143.842,70.855,47.454,25.533
1,1,Pre-Season Testing,2026-02-13,14.0,NOR,1,McLaren,0 days 00:01:37.568000,0 days 00:00:30.706000,0 days 00:00:42.929000,0 days 00:00:23.933000,224.0,236.0,305.0,308.0,MEDIUM,14.0,False,,True,97.568,30.706,42.929,23.933
1,1,Pre-Season Testing,2026-02-13,15.0,NOR,1,McLaren,0 days 00:01:49.713000,0 days 00:00:32.112000,0 days 00:00:48.019000,0 days 00:00:29.582000,186.0,208.0,,303.0,MEDIUM,15.0,False,,False,109.713,32.112,48.019,29.582
1,1,Pre-Season Testing,2026-02-13,16.0,NOR,1,McLaren,,,0 days 00:00:47.109000,0 days 00:00:26.529000,214.0,199.0,271.0,189.0,MEDIUM,1.0,True,,False,,,47.109,26.529
1,1,Pre-Season Testing,2026-02-13,17.0,NOR,1,McLaren,0 days 00:01:36.896000,0 days 00:00:30.546000,0 days 00:00:43.111000,0 days 00:00:23.239000,232.0,235.0,283.0,319.0,MEDIUM,2.0,True,,True,96.896,30.546,43.111,23.239
1,1,Pre-Season Testing,2026-02-13,18.0,NOR,1,McLaren,0 days 00:02:16.478000,0 days 00:00:43.344000,0 days 00:01:00.573000,0 days 00:00:32.561000,68.0,149.0,201.0,190.0,MEDIUM,3.0,True,,False,136.478,43.344,60.573,32.561
1,1,Pre-Season Testing,2026-02-13,19.0,NOR,1,McLaren,0 days 00:02:06.305000,0 days 00:00:41.829000,0 days 00:00:55.741000,0 days 00:00:28.735000,160.0,191.0,285.0,182.0,MEDIUM,4.0,True,,False,126.305,41.829,55.741,28.735
1,1,Pre-Season Testing,2026-02-13,20.0,NOR,1,McLaren,0 days 00:01:35.581000,0 days 00:00:30.239000,0 days 00:00:42.110000,0 days 00:00:23.232000,232.0,237.0,282.0,309.0,MEDIUM,5.0,True,,True,95.581,30.239,42.11,23.232
1,1,Pre-Season Testing,2026-02-13,21.0,NOR,1,McLaren,0 days 00:02:17.223000,0 days 00:00:42.285000,0 days 00:01:01.590000,0 days 00:00:33.348000,154.0,143.0,192.0,175.0,MEDIUM,6.0,True,,False,137.223,42.285,61.59,33.348
1,1,Pre-Season Testing,2026-02-13,22.0,NOR,1,McLaren,0 days 00:02:01.293000,0 days 00:00:41.383000,0 days 00:00:51.341000,0 days 00:00:28.569000,206.0,178.0,281.0,211.0,MEDIUM,7.0,True,,False,121.293,41.383,51.341,28.569
1,1,Pre-Season Testing,2026-02-13,23.0,NOR,1,McLaren,0 days 00:01:35.873000,0 days 00:00:30.242000,0 days 00:00:42.103000,0 days 00:00:23.528000,234.0,239.0,265.0,309.0,MEDIUM,8.0,True,,False,95.873,30.242,42.103,23.528
1,1,Pre-Season Testing,2026-02-13,24.0,NOR,1,McLaren,0 days 00:01:57.129000,0 days 00:00:37.741000,0 days 00:00:49.106000,0 days 00:00:30.282000,174.0,192.0,,184.0,MEDIUM,9.0,True,,False,117.129,37.741,49.106,30.282
1,1,Pre-Season Testing,2026-02-13,25.0,NOR,1,McLaren,,,0 days 00:00:46.371000,0 days 00:00:26.902000,211.0,207.0,279.0,199.0,MEDIUM,1.0,True,,False,,,46.371,26.902
1,1,Pre-Season Testing,2026-02-13,26.0,NOR,1,McLaren,0 days 00:01:34.669000,0 days 00:00:29.966000,0 days 00:00:41.610000,0 days 00:00:23.093000,233.0,237.0,277.0,322.0,MEDIUM,2.0,True,,True,94.669,29.966,41.61,23.093
1,1,Pre-Season Testing,2026-02-13,27.0,NOR,1,McLaren,0 days 00:02:06.189000,0 days 00:00:39.436000,0 days 00:00:55.688000,0 days 00:00:31.065000,150.0,166.0,207.0,188.0,MEDIUM,3.0,True,,False,126.189,39.436,55.688,31.065
1,1,Pre-Season Testing,2026-02-13,28.0,NOR,1,McLaren,0 days 00:02:02.333000,0 days 00:00:42.100000,0 days 00:00:50.904000,0 days 00:00:29.329000,201.0,162.0,280.0,183.0,MEDIUM,4.0,True,,False,122.333,42.1,50.904,29.329
1,1,Pre-Season Testing,2026-02-13,29.0,NOR,1,McLaren,0 days 00:01:44.453000,0 days 00:00:29.918000,0 days 00:00:43.959000,0 days 00:00:30.576000,231.0,237.0,,326.0,MEDIUM,5.0,True,,False,104.453,29.918,43.959,30.576
1,1,Pre-Season Testing,2026-02-13,30.0,NOR,1,McLaren,,,0 days 00:00:46.815000,0 days 00:00:36.777000,217.0,161.0,,200.0,SOFT,1.0,True,,False,,,46.815,36.777
1,1,Pre-Season Testing,2026-02-13,31.0,NOR,1,McLaren,,,0 days 00:00:46.261000,0 days 00:00:27.043000,210.0,188.0,274.0,175.0,SOFT,2.0,False,,False,,,46.261,27.043
1,1,Pre-Season Testing,2026-02-13,32.0,NOR,1,McLaren,0 days 00:01:35.164000,0 days 00:00:29.967000,0 days 00:00:41.615000,0 days 00:00:23.582000,230.0,250.0,275.0,319.0,SOFT,3.0,False,,False,95.164,29.967,41.615,23.582
1,1,Pre-Season Testing,2026-02-13,33.0,NOR,1,McLaren,0 days 00:02:15.235000,0 days 00:00:45.562000,0 days 00:00:57.794000,0 days 00:00:31.879000,136.0,157.0,196.0,155.0,SOFT,4.0,False,,False,135.235,45.562,57.794,31.879
1,1,Pre-Season Testing,2026-02-13,34.0,NOR,1,McLaren,0 days 00:01:59.187000,0 days 00:00:43.773000,0 days 00:00:48.709000,0 days 00:00:26.705000,185.0,181.0,276.0,131.0,SOFT,5.0,False,,False,119.187,43.773,48.709,26.705
