Test,Session,LapNumber,Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,Position,LapTimeSec,Sector1TimeSec,Sector2TimeSec,Sector3TimeSec
1,1,1.0,BOR,Audi,,,0 days 00:00:49.993000,0 days 00:00:28.535000,201.0,211.0,218.0,179.0,MEDIUM,1.0,True,,,,49.993,28.535
1,1,2.0,BOR,Audi,0 days 00:01:56.903000,0 days 00:00:37.452000,0 days 00:00:48.087000,0 days 00:00:31.364000,213.0,218.0,,218.0,MEDIUM,2.0,True,,116.903,37.452,48.087,31.364
1,1,3.0,BOR,Audi,,,0 days 00:00:48.822000,0 days 00:00:27.395000,213.0,219.0,219.0,164.0,MEDIUM,1.0,True,,,,48.822,27.395
1,1,4.0,BOR,Audi,0 days 00:01:55.686000,0 days 00:00:36.917000,0 days 00:00:48.441000,0 days 00:00:30.328000,214.0,219.0,,218.0,MEDIUM,2.0,True,,115.686,36.917,48.441,30.328
1,1,5.0,BOR,Audi,,,0 days 00:00:46.775000,0 days 00:00:25.681000,217.0,231.0,262.0,187.0,MEDIUM,3.0,False,,,,46.775,25.681
1,1,6.0,BOR,Audi,0 days 00:01:47.149000,0 days 00:00:32.688000,0 days 00:00:45.834000,0 days 00:00:28.627000,224.0,234.0,,288.0,MEDIUM,4.0,False,,107.149,32.688,45.834,28.627
1,1,7.0,BOR,Audi,0 days 00:02:21.032000,0 days 00:01:11.458000,0 days 00:00:45.138000,0 days 00:00:24.436000,218.0,236.0,295.0,190.0,MEDIUM,5.0,False,,141.032,71.458,45.138,24.436
1,1,8.0,BOR,Audi,0 days 00:01:44.846000,0 days 00:00:32.258000,0 days 00:00:44.634000,0 days 00:00:27.954000,220.0,237.0,,299.0,MEDIUM,6.0,False,,104.846,32.258,44.634,27.954
1,1,9.0,BOR,Audi,0 days 00:02:18.687000,0 days 00:01:08.928000,0 days 00:00:44.983000,0 days 00:00:24.776000,220.0,238.0,261.0,196.0,MEDIUM,7.0,False,,138.687,68.928,44.983,24.776
1,1,10.0,BOR,Audi,0 days 00:01:48.023000,0 days 00:00:34.392000,0 days 00:00:44.901000,0 days 00:00:28.730000,221.0,239.0,,286.0,MEDIUM,8.0,False,,108.023,34.392,44.901,28.73
1,1,11.0,BOR,Audi,,,0 days 00:00:48.300000,0 days 00:00:29.387000,212.0,214.0,301.0,117.0,MEDIUM,9.0,False,,,,48.3,29.387
1,1,12.0,BOR,Audi,0 days 00:01:45.712000,0 days 00:00:32.161000,0 days 00:00:44.751000,0 days 00:00:28.800000,217.0,219.0,,300.0,MEDIUM,10.0,False,,105.712,32.161,44.751,28.8
1,1,13.0,BOR,Audi,,0 days 00:01:20.826000,0 days 00:00:53.395000,0 days 00:00:26.579000,183.0,217.0,294.0,136.0,MEDIUM,10.0,False,,,80.826,53.395,26.579
